Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wScCdGt2OkrrOP5kINDDF,"0CKa42Jqrc9fSFbDjePaXP,4OBJLual30L7gRl5UkeRcT","Big Bank (feat. T.I.)","4eva Is A Mighty Long Time","Big K.R.I.T.,T.I.",2017-10-27,224643,42,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:45Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap",0.713,0.847,11,-3.088,0,0.147,0.00815,0,0.381,0.594,148.938,4
382tCupmKZKxoo25SCsFH8,"0CKa42Jqrc9fSFbDjePaXP","Confetti","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,198763,37,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:46Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.691,0.633,1,-8.321,0,0.17,0.0509,0.0000109,0.0831,0.225,86.014,4
6wScCdGt2OkrrOP5kINDDF,"0CKa42Jqrc9fSFbDjePaXP,4OBJLual30L7gRl5UkeRcT","Big Bank (feat. T.I.)","4eva Is A Mighty Long Time","Big K.R.I.T.,T.I.",2017-10-27,224643,42,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:46Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap",0.713,0.847,11,-3.088,0,0.147,0.00815,0,0.381,0.594,148.938,4
70rmWfTH80PEWMQQBXbdNc,"0CKa42Jqrc9fSFbDjePaXP","Subenstein (My Sub IV)","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,243205,35,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:46Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.699,0.83,1,-5.668,1,0.0933,0.00465,0,0.151,0.685,155.031,4
72zepCi4IZrD9yKcSncppv,"0CKa42Jqrc9fSFbDjePaXP,1Xfmvd48oOhEWkscWyEbh9","1999 (feat. Lloyd)","4eva Is A Mighty Long Time","Big K.R.I.T.,Lloyd",2017-10-27,222951,37,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:46Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap,hip pop,r&b,urban contemporary",0.701,0.699,6,-6.508,1,0.213,0.09,0,0.0771,0.532,157.984,4
4zpcWALbEhfpik6GbJqYWw,"0CKa42Jqrc9fSFbDjePaXP,45a6gCQWq61lIUDmr1tKuO,7v9bFXCdSMA2o3gS4nvp0F","Ride Wit Me (feat. Bun B & Pimp C)","4eva Is A Mighty Long Time","Big K.R.I.T.,Bun B,Pimp C",2017-10-27,214985,31,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:47Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap,dirty south rap,houston rap,baton rouge rap,chopped and screwed,crunk",0.742,0.742,11,-6.659,0,0.109,0.00235,0,0.257,0.414,143.973,4
2KNr7FbLXgbTyDYUK47WaB,"0CKa42Jqrc9fSFbDjePaXP,5nLYd9ST4Cnwy6NHaCxbj8,7Dnu2NmddNymEI2LMZVH5v","Get Up 2 Come Down (feat. CeeLo Green & Sleepy Brown)","4eva Is A Mighty Long Time","Big K.R.I.T.,CeeLo Green,Sleepy Brown",2017-10-27,277238,33,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:47Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap,atl hip hop,pop rap",0.587,0.663,1,-6.649,1,0.162,0.041,0,0.144,0.133,86.563,4
1Dep6ITWSESGq6Q2GqKA3R,"0CKa42Jqrc9fSFbDjePaXP","Layup","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,260952,26,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:48Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.571,0.67,7,-8.72,0,0.0527,0.337,0,0.0826,0.333,138.033,4
2WUVsuoevr1hAogadLG7Ww,"0CKa42Jqrc9fSFbDjePaXP","Aux Cord","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,195490,28,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:48Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.371,0.798,0,-5.899,1,0.0793,0.00977,0.0000883,0.0856,0.111,90.749,4
3u4gG9MpOVJPOhYPCWivOx,"0CKa42Jqrc9fSFbDjePaXP","Get Away","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,297614,37,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:49Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.621,0.725,7,-4.496,1,0.267,0.367,0,0.104,0.153,155.976,4
1UDjtsG3E7KTGL4yay5nr7,"0CKa42Jqrc9fSFbDjePaXP","Justin Scott","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,240334,30,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:49Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.184,0.725,4,-5.407,0,0.0419,0.0129,0.00115,0.32,0.146,152.321,3
5VMzloUbaO06ySQezlsBaK,"0CKa42Jqrc9fSFbDjePaXP","Mixed Messages","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,266977,38,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:49Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.72,0.691,1,-6.266,1,0.0329,0.0486,0.0000192,0.174,0.343,115.967,4
6q1e78HDX0vPMfIFtrZrIK,"0CKa42Jqrc9fSFbDjePaXP","Keep The devil Off","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,310544,27,spotify:user:7oy1cahboqkwjull3fqfl083i,2024-08-19T16:30:50Z,"conscious hip hop,mississippi hip hop,southern hip hop,trap",0.704,0.834,10,-4.78,0,0.105,0.515,0,0.326,0.566,119.999,4
